age,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
55+ years,7,07/01/2020,07/31/2020,ed,46.4371,1.5615,1.1322,1.1069,0.2862
0-15 years,8,08/01/2020,08/31/2020,ip,7.3249,1.1406,0.303,0.9268,0.1248
0-15 years,8,08/01/2020,08/31/2020,ed,3.7172,0.0729,0.0398,0.1391,0.0265
16-34 years,8,08/01/2020,08/31/2020,ip,27.8309,5.1139,3.3571,5.7401,1.2872
16-34 years,8,08/01/2020,08/31/2020,ed,33.8041,2.6473,1.9939,4.7382,0.5016
35-54 years,8,08/01/2020,08/31/2020,ip,36.9173,7.2718,4.6947,3.2009,1.74
35-54 years,8,08/01/2020,08/31/2020,ed,47.2267,4.0617,3.3815,3.7264,0.8478
55+ years,8,08/01/2020,08/31/2020,ip,27.8489,2.634,1.0644,0.6374,0.4149
55+ years,8,08/01/2020,08/31/2020,ed,46.6748,1.7352,1.154,1.2846,0.3369
0-15 years,9,09/01/2020,09/30/2020,ip,7.773,0.8182,0.1601,0.9961,0.0889
0-15 years,9,09/01/2020,09/30/2020,ed,4.4069,0.0647,0.0582,0.2071,0.0194
16-34 years,9,09/01/2020,09/30/2020,ip,28.941,4.5093,3.6962,5.766,1.1643
16-34 years,9,09/01/2020,09/30/2020,ed,33.7709,2.5994,2.1938,4.8979,0.4972
35-54 years,9,09/01/2020,09/30/2020,ip,36.8395,6.8613,4.7307,2.9022,1.5601
35-54 years,9,09/01/2020,09/30/2020,ed,47.9736,4.1176,3.5985,3.6434,0.7536
55+ years,9,09/01/2020,09/30/2020,ip,28.1381,2.9849,0.9343,0.5339,0.3883
55+ years,9,09/01/2020,09/30/2020,ed,47.2048,1.7228,1.0423,1.1327,0.3359
0-15 years,10,10/01/2020,10/31/2020,ip,8.2423,1.0743,0.2818,0.8982,0.0881
0-15 years,10,10/01/2020,10/31/2020,ed,4.3129,0.0253,0.0443,0.133,0.038
16-34 years,10,10/01/2020,10/31/2020,ip,26.9224,4.358,3.1334,6.1228,1.1705
16-34 years,10,10/01/2020,10/31/2020,ed,33.2122,2.7743,1.9303,4.8676,0.5682
35-54 years,10,10/01/2020,10/31/2020,ip,37.3517,7.6198,5.0366,3.4281,1.186
35-54 years,10,10/01/2020,10/31/2020,ed,48.0327,4.0111,3.5569,3.8103,1.0135
55+ years,10,10/01/2020,10/31/2020,ip,27.4124,2.7708,0.9843,0.5519,0.3869
55+ years,10,10/01/2020,10/31/2020,ed,46.7632,1.7998,1.1685,1.2259,0.4223
0-15 years,11,11/01/2020,11/30/2020,ip,8.4861,1.1705,0.3121,0.9949,0.1366
0-15 years,11,11/01/2020,11/30/2020,ed,4.2816,0.0554,0.1247,0.1732,0.0554
16-34 years,11,11/01/2020,11/30/2020,ip,27.9716,4.9655,3.0483,6.3267,1.4187
16-34 years,11,11/01/2020,11/30/2020,ed,33.9841,2.5186,1.9735,4.9189,0.4986
35-54 years,11,11/01/2020,11/30/2020,ip,35.6476,6.0969,4.6696,3.1894,1.304
35-54 years,11,11/01/2020,11/30/2020,ed,46.8117,3.868,3.3545,3.912,1.0562
55+ years,11,11/01/2020,11/30/2020,ip,27.1767,2.5382,0.8795,0.4073,0.3601
55+ years,11,11/01/2020,11/30/2020,ed,46.7904,1.6809,0.9862,1.1578,0.3902
0-15 years,12,12/01/2020,12/31/2020,ip,8.0289,1.1916,0.2344,0.8791,0.0586
0-15 years,12,12/01/2020,12/31/2020,ed,3.7099,0.0073,0.0581,0.1307,0.0218
16-34 years,12,12/01/2020,12/31/2020,ip,27.5595,4.3739,3.2901,5.6125,1.0257
16-34 years,12,12/01/2020,12/31/2020,ed,31.7582,2.3606,1.9715,4.4195,0.5071
35-54 years,12,12/01/2020,12/31/2020,ip,35.877,6.4752,4.8436,2.8212,1.1727
35-54 years,12,12/01/2020,12/31/2020,ed,44.9521,3.9082,3.1941,3.6392,0.993
55+ years,12,12/01/2020,12/31/2020,ip,26.2742,2.3679,0.8949,0.4947,0.3613
55+ years,12,12/01/2020,12/31/2020,ed,45.3219,1.62,1.1463,1.3535,0.3215
0-15 years,13,01/01/2021,01/31/2021,ip,8.5904,0.9082,0.2838,1.0785,0.1135
0-15 years,13,01/01/2021,01/31/2021,ed,4.2736,0.0138,0.0484,0.166,0.0277
16-34 years,13,01/01/2021,01/31/2021,ip,28.7567,4.939,3.566,6.4836,1.2395
16-34 years,13,01/01/2021,01/31/2021,ed,31.5292,2.4885,1.9742,4.7903,0.5267
35-54 years,13,01/01/2021,01/31/2021,ip,36.7458,6.2621,5.2419,3.2894,1.1434
35-54 years,13,01/01/2021,01/31/2021,ed,44.9547,3.9998,3.3791,3.9018,0.9148
55+ years,13,01/01/2021,01/31/2021,ip,26.0447,2.4339,0.9092,0.48,0.3106
55+ years,13,01/01/2021,01/31/2021,ed,45.9522,1.7236,1.2474,1.3486,0.4509
0-15 years,14,02/01/2021,02/28/2021,ip,7.9144,0.9034,0.3142,1.0016,0.0393
0-15 years,14,02/01/2021,02/28/2021,ed,5.0271,0.0578,0.0506,0.1733,0.0144
16-34 years,14,02/01/2021,02/28/2021,ip,27.2598,4.5805,3.4049,6.3437,0.8918
16-34 years,14,02/01/2021,02/28/2021,ed,32.8298,2.58,2.1158,4.9461,0.6143
35-54 years,14,02/01/2021,02/28/2021,ip,36.8392,6.0179,4.8838,2.7254,1.0609
35-54 years,14,02/01/2021,02/28/2021,ed,45.4409,3.6668,3.2233,3.9917,0.8613
55+ years,14,02/01/2021,02/28/2021,ip,26.8754,2.388,0.9822,0.5709,0.3438
55+ years,14,02/01/2021,02/28/2021,ed,45.9309,1.7961,1.2129,1.1897,0.375
0-15 years,15,03/01/2021,03/31/2021,ip,8.5625,1.1071,0.2595,0.8822,0.173
0-15 years,15,03/01/2021,03/31/2021,ed,4.4563,0.0291,0.064,0.1862,0.0233
16-34 years,15,03/01/2021,03/31/2021,ip,29.0508,4.9374,3.0772,5.685,1.3561
16-34 years,15,03/01/2021,03/31/2021,ed,34.0901,2.6581,2.356,5.4061,0.6002
35-54 years,15,03/01/2021,03/31/2021,ip,36.615,5.768,4.8989,3.0499,1.0904
35-54 years,15,03/01/2021,03/31/2021,ed,47.686,4.0871,3.8237,4.7973,0.9406
55+ years,15,03/01/2021,03/31/2021,ip,26.8044,2.4278,0.9536,0.548,0.2466
55+ years,15,03/01/2021,03/31/2021,ed,46.0615,1.7699,1.1921,1.3671,0.3296
0-15 years,16,04/01/2021,04/30/2021,ip,8.507,0.9127,0.1894,1.0849,0.1033
0-15 years,16,04/01/2021,04/30/2021,ed,3.6429,0.0356,0.0356,0.1778,0.0356
16-34 years,16,04/01/2021,04/30/2021,ip,27.1064,4.0406,3.4064,5.9612,0.7429
16-34 years,16,04/01/2021,04/30/2021,ed,31.5499,2.1967,1.8905,4.8603,0.486
35-54 years,16,04/01/2021,04/30/2021,ip,34.3583,6.0528,3.9974,3.0587,0.9063
35-54 years,16,04/01/2021,04/30/2021,ed,46.6797,3.705,3.4337,4.0386,0.6939
55+ years,16,04/01/2021,04/30/2021,ip,27.0125,2.275,0.9936,0.4629,0.2653
55+ years,16,04/01/2021,04/30/2021,ed,47.3041,1.5561,1.3693,1.3149,0.3423
0-15 years,17,05/01/2021,05/31/2021,ip,8.8638,0.9069,0.2396,0.8042,0.1369
0-15 years,17,05/01/2021,05/31/2021,ed,3.6488,0.0398,0.0354,0.146,0.0265
16-34 years,17,05/01/2021,05/31/2021,ip,27.5948,4.1518,3.1138,6.335,0.9843
16-34 years,17,05/01/2021,05/31/2021,ed,32.1509,2.1695,1.7289,4.9515,0.4966
35-54 years,17,05/01/2021,05/31/2021,ip,37.2634,6.4763,4.6496,2.4909,1.1624
35-54 years,17,05/01/2021,05/31/2021,ed,46.8246,3.6204,3.285,3.9472,0.6278
55+ years,17,05/01/2021,05/31/2021,ip,27.2285,2.3226,1.1005,0.6082,0.3707
55+ years,17,05/01/2021,05/31/2021,ed,47.2233,1.8898,1.2405,1.3131,0.3772
0-15 years,18,06/01/2021,06/30/2021,ip,7.7139,0.8424,0.1487,0.8094,0.1156
0-15 years,18,06/01/2021,06/30/2021,ed,3.3626,0.0438,0.0307,0.0789,0.0044
16-34 years,18,06/01/2021,06/30/2021,ip,26.6431,4.1696,3.1095,5.6184,0.8657
16-34 years,18,06/01/2021,06/30/2021,ed,31.6798,2.1072,1.811,4.6119,0.4462
35-54 years,18,06/01/2021,06/30/2021,ip,36.8538,6.359,4.6464,2.5848,1.0783
35-54 years,18,06/01/2021,06/30/2021,ed,46.9937,3.7973,3.4136,3.8878,0.7241
55+ years,18,06/01/2021,06/30/2021,ip,28.3497,2.7371,1.0536,0.5268,0.3436
55+ years,18,06/01/2021,06/30/2021,ed,47.0289,1.7496,1.1815,1.2128,0.2928
0-15 years,19,07/01/2021,07/31/2021,ip,7.3046,1.2407,0.2171,0.7909,0.1086
0-15 years,19,07/01/2021,07/31/2021,ed,2.9479,0.02,0.032,0.0919,0.02
16-34 years,19,07/01/2021,07/31/2021,ip,25.9569,4.3667,3.6013,5.1322,1.009
16-34 years,19,07/01/2021,07/31/2021,ed,30.7891,2.2136,1.7577,4.5256,0.4084
35-54 years,19,07/01/2021,07/31/2021,ip,36.4045,6.4194,4.3406,3.0434,1.3305
35-54 years,19,07/01/2021,07/31/2021,ed,45.8765,3.5375,3.1283,3.5204,0.6436
55+ years,19,07/01/2021,07/31/2021,ip,27.8654,2.4482,0.9238,0.4966,0.3522
55+ years,19,07/01/2021,07/31/2021,ed,45.6129,1.6668,0.9176,1.0757,0.2784
0-15 years,20,08/01/2021,08/31/2021,ip,6.955,0.9958,0.2645,0.8091,0.1089
0-15 years,20,08/01/2021,08/31/2021,ed,2.6601,0.0261,0.0335,0.0745,0.0037
16-34 years,20,08/01/2021,08/31/2021,ip,25.7997,3.8105,3.3561,4.9292,0.9614
16-34 years,20,08/01/2021,08/31/2021,ed,29.6892,1.8632,1.7416,3.476,0.3898
35-54 years,20,08/01/2021,08/31/2021,ip,35.5125,6.5217,4.6811,2.8404,1.4281
35-54 years,20,08/01/2021,08/31/2021,ed,44.1324,3.4056,2.8208,2.7751,0.6388
55+ years,20,08/01/2021,08/31/2021,ip,26.5993,2.1709,1.1547,0.4446,0.3002
55+ years,20,08/01/2021,08/31/2021,ed,45.1121,1.6377,0.9805,0.9158,0.3196
0-15 years,21,09/01/2021,09/30/2021,ip,8.2358,1.0501,0.315,1.0051,0.06
0-15 years,21,09/01/2021,09/30/2021,ed,3.1426,0.0215,0.0323,0.097,0.0144
16-34 years,21,09/01/2021,09/30/2021,ip,25.8065,4.0991,2.8159,5.0437,0.8376
16-34 years,21,09/01/2021,09/30/2021,ed,28.0888,2.1145,1.5924,1.9131,0.4177
35-54 years,21,09/01/2021,09/30/2021,ip,34.9362,5.8863,4.6261,2.9348,1.3099
35-54 years,21,09/01/2021,09/30/2021,ed,43.5511,3.6228,3.0099,1.6979,0.5993
55+ years,21,09/01/2021,09/30/2021,ip,26.834,2.3925,1.0555,0.5454,0.3577
55+ years,21,09/01/2021,09/30/2021,ed,45.5043,1.8191,1.0175,0.555,0.3006
0-15 years,22,10/01/2021,10/31/2021,ip,8.3498,0.9904,0.2133,0.9904,0.1219
0-15 years,22,10/01/2021,10/31/2021,ed,2.9304,0.0404,0.0147,0.1322,0.0294
16-34 years,22,10/01/2021,10/31/2021,ip,25.9643,4.3486,3.075,5.1856,1.0735
16-34 years,22,10/01/2021,10/31/2021,ed,29.0068,2.2062,1.6642,1.891,0.515
35-54 years,22,10/01/2021,10/31/2021,ip,36.2554,5.522,4.176,2.6747,1.2079
35-54 years,22,10/01/2021,10/31/2021,ed,45.0904,3.713,3.0599,1.6259,0.6805
55+ years,22,10/01/2021,10/31/2021,ip,25.9296,2.2806,1.0624,0.5427,0.254
55+ years,22,10/01/2021,10/31/2021,ed,46.2223,1.5262,1.0945,0.4242,0.2045
0-15 years,23,11/01/2021,11/30/2021,ip,8.4565,0.7618,0.2895,1.0818,0.1524
0-15 years,23,11/01/2021,11/30/2021,ed,3.7166,0.0229,0.0267,0.1372,0.0305
16-34 years,23,11/01/2021,11/30/2021,ip,25.3474,3.9054,2.5347,5.5764,0.8825
16-34 years,23,11/01/2021,11/30/2021,ed,29.3649,1.9409,1.3545,2.0028,0.3882
35-54 years,23,11/01/2021,11/30/2021,ip,35.9723,5.9588,4.9797,2.5996,0.7427
35-54 years,23,11/01/2021,11/30/2021,ed,44.8712,3.2277,2.697,1.5189,0.5696
55+ years,23,11/01/2021,11/30/2021,ip,26.4701,2.2029,0.9791,0.5187,0.2914
55+ years,23,11/01/2021,11/30/2021,ed,45.8549,1.2475,0.9765,0.4703,0.2073
0-15 years,24,12/01/2021,12/31/2021,ip,7.8775,0.7502,0.2501,0.8284,0.0938
0-15 years,24,12/01/2021,12/31/2021,ed,3.5482,0.0399,0.0327,0.1197,0.0
16-34 years,24,12/01/2021,12/31/2021,ip,26.5545,4.0446,2.6838,5.103,1.0962
16-34 years,24,12/01/2021,12/31/2021,ed,26.4235,1.4393,1.0356,1.6218,0.1931
35-54 years,24,12/01/2021,12/31/2021,ip,35.0166,5.9759,4.7702,2.621,1.0484
35-54 years,24,12/01/2021,12/31/2021,ed,41.7689,2.3162,2.0117,1.2782,0.3346
55+ years,24,12/01/2021,12/31/2021,ip,25.2818,2.1258,1.0395,0.4088,0.3796
