age,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
0-15 years,36,12/01/2022,12/31/2022,ip,7.7288,0.9067,0.2879,0.7484,0.1295
0-15 years,36,12/01/2022,12/31/2022,ed,3.7152,0.0175,0.0105,0.1571,0.007
16-34 years,36,12/01/2022,12/31/2022,ip,25.1527,3.4854,3.0183,4.779,0.6288
16-34 years,36,12/01/2022,12/31/2022,ed,26.8599,1.3684,1.2583,2.8036,0.2202
35-54 years,36,12/01/2022,12/31/2022,ip,36.3458,6.77,6.0196,3.0179,1.4356
35-54 years,36,12/01/2022,12/31/2022,ed,40.6165,2.5509,2.1092,1.8929,0.2299
55+ years,36,12/01/2022,12/31/2022,ip,26.4566,2.2873,1.1584,0.4172,0.3338
55+ years,36,12/01/2022,12/31/2022,ed,42.7018,1.1091,0.7061,0.5813,0.0678
0-15 years,37,01/01/2023,01/31/2023,ip,9.0247,0.8218,0.3722,1.0079,0.1241
0-15 years,37,01/01/2023,01/31/2023,ed,4.0813,0.0249,0.0249,0.2696,0.0166
16-34 years,37,01/01/2023,01/31/2023,ip,27.1815,4.1804,3.2129,5.586,1.1866
16-34 years,37,01/01/2023,01/31/2023,ed,26.2715,1.4606,1.1548,3.0259,0.2052
35-54 years,37,01/01/2023,01/31/2023,ip,37.6151,7.2852,5.7779,2.8638,1.1723
35-54 years,37,01/01/2023,01/31/2023,ed,41.927,2.8377,2.4221,1.9931,0.286
55+ years,37,01/01/2023,01/31/2023,ip,26.6713,2.259,1.24,0.523,0.3558
55+ years,37,01/01/2023,01/31/2023,ed,43.014,1.1574,0.769,0.6421,0.0753
0-15 years,38,02/01/2023,02/28/2023,ip,9.434,0.7944,0.4138,1.1089,0.149
0-15 years,38,02/01/2023,02/28/2023,ed,3.9697,0.0284,0.0243,0.1825,0.0
16-34 years,38,02/01/2023,02/28/2023,ip,27.1892,3.8116,3.3229,5.258,0.821
16-34 years,38,02/01/2023,02/28/2023,ed,26.4438,1.4241,1.1962,2.7955,0.1534
35-54 years,38,02/01/2023,02/28/2023,ip,37.6065,7.3436,6.3101,2.8468,1.2874
35-54 years,38,02/01/2023,02/28/2023,ed,42.0111,2.7156,2.4801,2.0692,0.3006
55+ years,38,02/01/2023,02/28/2023,ip,27.2923,2.5105,1.4047,0.6216,0.3407
55+ years,38,02/01/2023,02/28/2023,ed,42.8739,1.1653,0.6801,0.6455,0.1083
0-15 years,39,03/01/2023,03/31/2023,ip,9.04,0.7624,0.2023,0.9024,0.0778
0-15 years,39,03/01/2023,03/31/2023,ed,3.7746,0.0182,0.04,0.2252,0.0182
16-34 years,39,03/01/2023,03/31/2023,ip,27.6174,3.8618,3.2595,5.5093,0.6909
16-34 years,39,03/01/2023,03/31/2023,ed,25.9332,1.4357,1.1446,2.6708,0.1888
35-54 years,39,03/01/2023,03/31/2023,ip,37.6574,7.3393,6.3453,3.2472,1.3585
35-54 years,39,03/01/2023,03/31/2023,ed,40.9161,2.6776,2.1883,1.93,0.3081
55+ years,39,03/01/2023,03/31/2023,ip,27.657,2.4105,1.3713,0.4928,0.3696
55+ years,39,03/01/2023,03/31/2023,ed,43.3388,1.1225,0.6967,0.5535,0.0813
0-15 years,40,04/01/2023,04/30/2023,ip,9.3681,0.7375,0.2591,0.9767,0.0997
0-15 years,40,04/01/2023,04/30/2023,ed,4.486,0.0338,0.0145,0.2221,0.0097
16-34 years,40,04/01/2023,04/30/2023,ip,27.1654,3.878,3.3858,5.5709,0.6693
16-34 years,40,04/01/2023,04/30/2023,ed,26.3111,1.4252,1.2887,2.6371,0.175
35-54 years,40,04/01/2023,04/30/2023,ip,38.5056,7.0776,6.0025,3.5657,1.5768
35-54 years,40,04/01/2023,04/30/2023,ed,42.003,2.6567,2.2457,1.9619,0.3425
55+ years,40,04/01/2023,04/30/2023,ip,27.6982,2.4151,1.3577,0.6569,0.3942
55+ years,40,04/01/2023,04/30/2023,ed,42.9048,1.1564,0.7981,0.4479,0.1059
0-15 years,41,05/01/2023,05/27/2023,ip,10.3203,0.5338,0.089,0.9786,0.089
0-15 years,41,05/01/2023,05/27/2023,ed,4.0664,0.0443,0.0148,0.2583,0.0
16-34 years,41,05/01/2023,05/27/2023,ip,27.7946,3.5391,2.9348,4.9633,0.4316
16-34 years,41,05/01/2023,05/27/2023,ed,25.8512,1.2123,0.922,2.2795,0.1162
35-54 years,41,05/01/2023,05/27/2023,ip,38.4544,7.5428,6.4785,2.7765,1.851
35-54 years,41,05/01/2023,05/27/2023,ed,41.6762,2.78,2.3235,1.6468,0.2609
55+ years,41,05/01/2023,05/27/2023,ip,30.0087,2.2145,1.3078,0.4882,0.3487
55+ years,41,05/01/2023,05/27/2023,ed,41.8811,1.2971,0.7283,0.4994,0.104
